recipient_id,recipient_name,category,subcategory,book_title,publisher,award_status,year,location,publication,show,company,restaurant_name,project
25516,Antimo DiMeo,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Wilmington, Delaware",,,,Bardea Food & Drink,
25517,Tomasz Skowronski,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Pittsburgh, Pennsylvania",,,,Apteka,
25536,Briar Handly,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Park City, Utah",,,,HANDLE,
25518,Yuan Tang,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Washington, District of Columbia",,,,Rooster & Owl,
25519,Wei Lu,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Florham Park, New Jersey",,,,China Chalet,
25520,Christopher Hirsheimer,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Milford, New Jersey",,,,Canal House Station,
25495,Craig Richards,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Atlanta, Georgia",,,,Lyla Lila,
25496,Alison Settle,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Goshen, Kentucky",,,,Barn8,
25497,Jake Howell,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Nashville, Tennessee",,,,Peninsula,
25498,Jason Liang,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Decatur, Georgia",,,,Brush Sushi Izakaya,
25499,Anthony Lamas,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Louisville, Kentucky",,,,Seviche,
25500,Joey Ward,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Atlanta, Georgia",,,,Southern Belle and Georgia Boy,
25522,Joey Baldino,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Collingswood, New Jersey",,,,Zeppoli,
25501,mailea weger,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Nashville, Tennessee",,,,Lou,
25525,Matt Hill,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Arlington, Virginia",,,,Ruthie's All-Day,
25502,Mike Costello,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Lost Creek, West Virginia",,,,Lost Creek Farm,
25503,Peyton Smith,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Winston-Salem, North Carolina",,,,Mission Pizza Napoletana,
25504,Orlando Pagán,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Charleston, South Carolina",,,,Wild Common,
25505,Oscar Diaz,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Raleigh, North Carolina",,,,The Cortez,
25506,Ouita Michel,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Midway, Kentucky",,,,Holly Hill Inn,
25527,Peter Prime,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Washington, District of Columbia",,,,Cane,
25528,Carlos Raba,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Baltimore, Maryland",,,,Clavel Mezcaleria,
25529,Bethany Zozula,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Pittsburgh, Pennsylvania",,,,40 North at Alphabet City,
25507,Sunny Gerhart,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Raleigh, North Carolina",,,,St. Roch Oysters + Bar,
25508,Stephanie Tyson,Restaurant & Chef,Best Chefs,,,Semifinalist,2022,"Winston-Salem, North Carolina",,,,Sweet Potatoes,
